Paper_id	Baselines	URL	Title	Year
1	['SLIM', 'WMF', 'MULTVAE', 'MULTDAE', 'CDAE']	https://dl.acm.org/doi/pdf/10.1145/3336191.3371774	ADMM SLIM: Sparse Recommendations for Many Users	2020
2	['ITEMKNN', 'BPR', 'EALS', 'NCF', 'GCMC', 'SPECTRALCF']	https://arxiv.org/pdf/1808.10523.pdf	Spectral Collaborative Filtering	2018
3	['ITEMKNN', 'USERKNN', 'WRMF', 'BPRKNN', 'PURESVD', 'BPR', 'SLIM']	https://www-users.cse.umn.edu/~ningx005/slides/ICDM2011_slides.pdf	SLIM: Sparse Linear Methods for Top-N Recommender Systems	2011
4	['NGCF', 'LIGHTGCN', 'MULTVAE', 'SGLED']	https://arxiv.org/pdf/2010.10783.pdf	Self-supervised Graph Learning for Recommendation	2021
5	['WARP', 'WMF', 'SLIM', 'CDAE', 'MULTDAE', 'MULTVAE', 'EASE', 'RECVAE']	https://arxiv.org/pdf/1912.11160.pdf	RecVAE: a New Variational Autoencoder for Top-N Recommendations with Implicit Feedback	2019
6	['VAE', 'WARP', 'EASE', 'VAE', 'CDAE', 'WMF', 'SLIM']	https://openreview.net/pdf?id=HJxR7R4FvS	RACT: TOWARDS AMORTIZED RANKING-CRITICAL TRAINING FOR COLLABORATIVE FILTERING	2019
7	['ITEMPOP', 'ITEMKNN', 'BPR', 'NCF']	https://tbbaby.github.io/pub/CIKM.pdf	A Neural Collaborative Filtering Model with Interaction-based Neighborhood	2017
8	['MF', 'NCF', 'CMN', 'HOPREC', 'GCMC', 'PINSAGE', 'NGCF']	https://arxiv.org/pdf/1905.08108.pdf	Neural Graph Collaborative Filtering∗	2019
9	['ITEMKNN', 'EALS', 'MLP', 'BPR', 'GMF', 'NCF']	https://arxiv.org/pdf/1708.05031.pdf	Neural Collaborative Filtering∗	2017
10	['BPR', 'NCF', 'FISM', 'NGCF', 'DGCF', 'LIGHTGCN', 'SGL']	https://arxiv.org/pdf/2202.06200.pdf	Improving Graph Collaborative Filtering with Neighborhood-enriched Contrastive Learning	2022
11	['POP', 'WRMF', 'AUTOREC', 'CML']	https://arxiv.org/pdf/1811.00697.pdf	Noise Contrastive Estimation for Scalable Linear Models for One-Class Collaborative Filtering	2018
12	['MF', 'MLP', 'FISM', 'NAIS']	https://arxiv.org/pdf/1809.07053.pdf	NAIS: Neural Attentive Item Similarity Model for Recommendation	2018
13	['MULTVAE', 'MULTDAE', 'WMF', 'SLIM', 'CDAE']	https://dl.acm.org/doi/pdf/10.1145/3178876.3186150	Variational Autoencoders for Collaborative Filtering	2018
14	['MULTVAE', 'MULTDAE', 'MACRIDVAE']	https://proceedings.neurips.cc/paper/2019/file/a2186aa7c086b46ad4e8bf81e2a3a19b-Paper.pdf	Learning Disentangled Representations for Recommendation	2019
15	['NGCF', 'LIGHTGCN', 'MULTVAE', 'GRMF']	https://arxiv.org/pdf/2002.02126.pdf	LightGCN: Simplifying and Powering Graph Convolution Network for Recommendation	2020
16	['ITEMKNN', 'PURESVD', 'BPRKNN', 'BPR', 'SLIM', 'FISM']	https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.714.8026&rep=rep1&type=pdf	FISM: Factored Item Similarity Models for Top-N Recommender Systems	2013
17	['ITEMKNN', 'BPR', 'WMF', 'EXPOMF', 'GMF', 'NCF', 'CONVNCF']	https://dl.acm.org/doi/pdf/10.1145/3373807	Efficient Neural Matrix Factorization without Sampling for Recommendation	2020
18	['MULTVAE', 'MULTDAE', 'WMF', 'SLIM', 'CDAE']	https://arxiv.org/pdf/1905.03375.pdf	Embarrassingly Shallow Autoencoders for Sparse Data	2019
19	['ITEMPOP', 'ITEMKNN', 'EALS', 'NCF', 'DMF']	https://www.ijcai.org/Proceedings/2017/0447.pdf	Deep Matrix Factorization Models for Recommender Systems∗	2017
20	['MF', 'GCMC', 'NGCF', 'DISENGCN', 'MACRIDVAE', 'DGCF']	https://arxiv.org/pdf/2007.01764.pdf	Disentangled Graph Collaborative Filtering	2020
21	['ITEMPOP', 'BPR', 'MLP', 'JRL', 'NCF', 'CONVNCF']	https://arxiv.org/pdf/1808.03912.pdf	Outer Product-based Neural Collaborative Filtering	2018
22	['POP', 'ITEMCF', 'MF', 'BPR', 'FISM', 'CDAE']	https://www.datascienceassn.org/sites/default/files/Collaborative%20Denoising%20Auto-Encoders%20for%20Top-N%20Recommender%20Systems.pdf	Collaborative Denoising Auto-Encoders for Top-N Recommender Systems	2016
23	['BPR', 'BPRKNN', 'WRMF', 'SVD', 'ITEMKNN']	https://arxiv.org/pdf/1205.2618.pdf	BPR: Bayesian Personalized Ranking from Implicit Feedback	2009
24	['POPREC', 'BPR', 'FMC', 'FPMC', 'HRM', 'PRME', 'TRANSREC']	https://arxiv.org/pdf/1707.02410.pdf	Translation-based Recommendation	2017
25	['POP', 'SPOP', 'ITEMKNN', 'BPR', 'FPMC', 'GRU4REC', 'NARM', 'STAMP', 'SRGNN']	https://ojs.aaai.org/index.php/AAAI/article/view/3804/3682	Session-Based Recommendation with Graph Neural Networks	2019
26	['GRU4REC', 'CASER', 'SASREC', 'MIND', 'MCPRN']	https://arxiv.org/pdf/2102.09267.pdf	Sparse-Interest Network for Sequential Recommendation	2021
27	['TOP', 'BPR', 'FPMC', 'FOSSIL', 'HRM', 'SHAN']	https://opus.lib.uts.edu.au/bitstream/10453/126040/1/ijcai2018_Yin.pdf	Sequential Recommender System based on Hierarchical Attention Network	2018
28	['POPREC', 'BPR', 'FMC', 'FPMC', 'TRANSREC', 'GRU4REC', 'CASER', 'SASREC']	https://arxiv.org/pdf/1808.09781.pdf	Self-Attentive Sequential Recommendation	2018
29	['POPREC', 'FM', 'AUTOINT', 'GRU4REC', 'CASER', 'SASREC', 'BERT4REC', 'HGN', 'FDSA', 'S3REC']	https://arxiv.org/pdf/2008.07873.pdf	S 3 -Rec: Self-Supervised Learning for Sequential Recommendation with Mutual Information Maximization	2020
30	['POP', 'SPOP', 'ITEMKNN', 'BPR', 'FPMC', 'GRU4REC', 'NARM', 'REPEATNET']	https://ojs.aaai.org/index.php/AAAI/article/view/4408/4286	Repeatnet: A repeat aware neural recommendation machine for session-based recommendation	2019
31	['SLIM', 'BPR', 'NCF']	https://arxiv.org/pdf/1805.06563.pdf	NPE: Neural Personalized Embedding for Collaborative Filtering	2018
32	['POP', 'GRU4REC', 'CASER', 'NEXTITNET']	https://arxiv.org/pdf/1808.05163.pdf	A Simple Convolutional Generative Network for Next Item Recommendation	2018
33	['POP', 'SPOP', 'ITEMKNN', 'BPR', 'FPMC', 'GRU4REC', 'NARM']	https://arxiv.org/pdf/1711.04725.pdf	Neural Aentive Session-based Recommendation	2017
34	['TOP', 'MC', 'NMF', 'FPMC', 'HRM']	https://cseweb.ucsd.edu/classes/fa17/cse291-b/reading/SIGIR2015_NextBasketRec.pdf	Learning Hierarchical Representation Model for Next Basket Recommendation	2015
35	['BPR', 'GRU4REC', 'CASER', 'SASREC', 'HGN']	https://arxiv.org/pdf/1906.09217.pdf	Hierarchical Gating Networks for Sequential Recommendation	2019
36	['POP', 'BPR', 'FPMC', 'GRU4REC', 'STAMP', 'SRGNN', 'GCSAN']	https://www.ijcai.org/proceedings/2019/0547.pdf	Graph Contextualized Self-Attention Network for Session-based Recommendation	2019
37	['POP', 'BPR', 'FISM', 'FMC', 'FPMC', 'FOSSIL']	https://arxiv.org/pdf/1609.09152.pdf	Fusing Similarity Models with Markov Chains for Sparse Sequential Recommendation	2016
38	['POPREC', 'BPR', 'FPMC', 'TRANSREC', 'GRU4REC', 'CSAN', 'SASREC', 'FDSA']	https://www.ijcai.org/proceedings/2019/0600.pdf	Feature-level Deeper Self-Attention Network for Sequential Recommendation	2019
39	['LR', 'WIDEDEEP', 'PNN', 'DEEPFM', 'DIN']	https://arxiv.org/pdf/1706.06978.pdf	Deep Interest Network for Click-Through Rate Prediction	2017
40	['FPMC', 'GRU4REC', 'NARM', 'SRGNN', 'NISER', 'LESSR', 'SGNNHN', 'SASREC', 'GCSAN']	https://arxiv.org/pdf/2204.11067.pdf	CORE: Simple and Effective Session-based Recommendation within Consistent Representation Space	2022
41	['POP', 'BPR', 'NCF', 'FPMC', 'GRU4REC', 'CASER', 'SASREC', 'BERT4REC']	https://arxiv.org/pdf/1904.06690.pdf	BERT4Rec: Sequential Recommendation with Bidirectional Encoder Representations from Transformer	2019
42	['BPR', 'VBPR', 'TRANSREC', 'DEEPCONN', 'CKE', 'JRL']	https://www.mdpi.com/1999-4893/11/9/137/pdf	Learning Heterogeneous Knowledge Base Embeddings for Explainable Recommendation	2018
43	['LR', 'FM', 'IPNN', 'PNN']	https://arxiv.org/pdf/1611.00144.pdf	Product-based Neural Networks for User Response Prediction	2016
44	['LR', 'FM', 'DNN', 'DCN', 'WIDEDEEP', 'PNN', 'DEEPFM', 'XDEEPFM']	https://arxiv.org/pdf/1803.05170.pdf	Wide & Deep Learning for Recommender Systems	2016
45	['BPR', 'PER', 'LIBFM', 'CKE']	https://www.kdd.org/kdd2016/papers/files/adf0066-zhangA.pdf	Collaborative Knowledge Base Embedding for Recommender Systems	2016
46	['FM', 'NFM', 'CKE', 'CFKG', 'MCREC', 'RIPPLENET', 'GCMC', 'KGAT']	https://arxiv.org/pdf/1905.07854.pdf	KGAT: Knowledge Graph Attention Network for Recommendation	2019
